model,image,image_size,patch_size,epochs,boundary_f_score,dice,iou,mse,patch_stride,pixel_accuracy,precision,psnr,recall,ssim
HVK1D,0000_cat_domestic_cat_s_000907.png,32,8,200,,,,0.0003860945871565491,4,,,34.13306286913947,,0.9910746117105512
HVK1D,0001_ship_hydrofoil_s_000078.png,32,8,200,,,,0.0012777906376868486,4,,,28.935402982478884,,0.9931601173697415
HVK1D,0002_ship_sea_boat_s_001456.png,32,8,200,,,,0.0007166789146140218,4,,,31.446753727056873,,0.9943915601423476
HVK1D,0003_airplane_jetliner_s_001705.png,32,8,200,,,,0.0005075707449577749,4,,,32.94503417447209,,0.994481949413859
HVK1D,0004_frog_green_frog_s_001658.png,32,8,200,,,,0.0003438073326833546,4,,,34.636848649672956,,0.9925698939064512
HVK2D,0000_cat_domestic_cat_s_000907.png,32,8,200,,,,0.00016431020048912615,4,,,37.843354744308655,,0.9963296912018819
HVK2D,0001_ship_hydrofoil_s_000078.png,32,8,200,,,,0.0010203755227848887,4,,,29.912399679836085,,0.9946693423218385
HVK2D,0002_ship_sea_boat_s_001456.png,32,8,200,,,,0.0005781954969279468,4,,,32.37925295001853,,0.9954879915962878
HVK2D,0003_airplane_jetliner_s_001705.png,32,8,200,,,,0.00043749873293563724,4,,,33.590232004242,,0.994958091570658
HVK2D,0004_frog_green_frog_s_001658.png,32,8,200,,,,0.00013236583617981523,4,,,38.782240924882274,,0.9974314170188961
SymmetricHVK1D,0000_cat_domestic_cat_s_000907.png,32,8,200,,,,0.00024391256738454103,4,,,36.12765822461392,,0.9948133113447808
SymmetricHVK1D,0001_ship_hydrofoil_s_000078.png,32,8,200,,,,0.0014706626534461975,4,,,28.32486936075183,,0.9920544322942302
SymmetricHVK1D,0002_ship_sea_boat_s_001456.png,32,8,200,,,,0.0007437358144670725,4,,,31.285813046347222,,0.994145743198675
SymmetricHVK1D,0003_airplane_jetliner_s_001705.png,32,8,200,,,,0.0004582100664265454,4,,,33.38935374017248,,0.9948698143050677
SymmetricHVK1D,0004_frog_green_frog_s_001658.png,32,8,200,,,,0.0003204363747499883,4,,,34.94258190288992,,0.9932304397947183
GAN,0000_cat_domestic_cat_s_000907.png,32,8,200,,,,0.0022098608314990997,,,,26.55635075642988,,0.9467640067953853
GAN,0001_ship_hydrofoil_s_000078.png,32,8,200,,,,0.004244988784193993,,,,23.72123452880357,,0.9762759405952657
GAN,0002_ship_sea_boat_s_001456.png,32,8,200,,,,0.002847525756806135,,,,25.45532338894802,,0.9766545176415496
GAN,0003_airplane_jetliner_s_001705.png,32,8,200,,,,0.0024363042321056128,,,,26.132684803762956,,0.9766316604420351
GAN,0004_frog_green_frog_s_001658.png,32,8,200,,,,0.0014852603198960423,,,,28.28197421372865,,0.967920320860394
PHL,0000_cat_domestic_cat_s_000907.png,32,0,200,0.5691056861061538,0.8024316109178592,0.670050761387307,0.07405374944210052,,0.9365234374908543,0.9999999999242424,11.304529476655185,0.670050761387307,0.6037694206687718
PHL,0001_ship_hydrofoil_s_000078.png,32,0,200,0.9900990048029605,0.9983221476426316,0.9966499162312119,0.022252945229411125,,0.9980468749902536,0.9999999999831932,16.52612500987242,0.9966499162312119,0.9184171103737422
PHL,0002_ship_sea_boat_s_001456.png,32,0,200,0.9401709350909491,0.9948400412694031,0.9897330595279316,0.028956135734915733,,0.9951171874902821,0.999999999979253,15.382593962379968,0.9897330595279316,0.8729174004039114
PHL,0003_airplane_jetliner_s_001705.png,32,0,200,0.7249999949125002,0.9906407487329688,0.9814550641800077,0.03931378573179245,,0.9873046874903585,0.9814550641800077,14.054551336598326,0.9999999999854651,0.820158098395028
PHL,0004_frog_green_frog_s_001658.png,32,0,200,0.7401574753050751,0.9687750200082564,0.9394409937742323,0.05250042676925659,,0.9619140624906064,0.9394409937742323,12.79837166255379,0.9999999999834711,0.7243580392610277
MLP,0000_cat_domestic_cat_s_000907.png,32,32,200,,,,7.789135452185292e-07,,,,61.0851074376285,,0.9999828604108059
MLP,0001_ship_hydrofoil_s_000078.png,32,32,200,,,,2.5120179998339154e-06,,,,55.999772529919525,,0.9999871227874353
MLP,0002_ship_sea_boat_s_001456.png,32,32,200,,,,2.445385405280831e-07,,,,66.11652684108401,,0.9999981089136866
MLP,0003_airplane_jetliner_s_001705.png,32,32,200,,,,7.270207873222301e-12,,,,111.38453171410188,,0.9999999999188475
MLP,0004_frog_green_frog_s_001658.png,32,32,200,,,,7.776243649004755e-09,,,,81.09230140345088,,0.9999998399131376
CNN,0000_cat_domestic_cat_s_000907.png,32,32,200,,,,3.332535925437696e-05,,,,44.772251601030746,,0.9992629107282096
CNN,0001_ship_hydrofoil_s_000078.png,32,32,200,,,,0.0002260867622680962,,,,36.45724865528254,,0.9988020154635828
CNN,0002_ship_sea_boat_s_001456.png,32,32,200,,,,0.00010162241233047098,,,,39.9301049994553,,0.9992130478769068
CNN,0003_airplane_jetliner_s_001705.png,32,32,200,,,,0.00018646166427060962,,,,37.29410443786115,,0.9978969025811126
CNN,0004_frog_green_frog_s_001658.png,32,32,200,,,,3.4879940358223394e-05,,,,44.57424266346025,,0.9992811855576201
Autoencoder,0000_cat_domestic_cat_s_000907.png,32,8,200,,,,0.007012767717242241,,,,21.54110545928056,,0.812156553813135
Autoencoder,0001_ship_hydrofoil_s_000078.png,32,8,200,,,,0.012427851557731628,,,,19.05603942739484,,0.927453222037127
Autoencoder,0002_ship_sea_boat_s_001456.png,32,8,200,,,,0.009604819118976593,,,,20.175108094977624,,0.9180879732444805
Autoencoder,0003_airplane_jetliner_s_001705.png,32,8,200,,,,0.007580732926726341,,,,21.202888035176784,,0.905658177468392
Autoencoder,0004_frog_green_frog_s_001658.png,32,8,200,,,,0.006384340114891529,,,,21.948839847390886,,0.8460450844570709
