No.,Name,Institution,Department,Country,Region,Focus,StartYear,Source,Relevance,Confidence
1,Di Luo,UCLA,Electrical & Computer Engineering,USA,North America,"Neural network quantum states, AI + quantum many-body physics",2024.0,https://samueli.ucla.edu/ucla-samueli-welcomes-new-faculty-members-2024/,ML-based quantum state representations — overlaps with HVK's hybrid quantum-classical decoder,Confirmed
2,Leo Zhou,UCLA,Electrical & Computer Engineering,USA,North America,"Variational quantum algorithms (QAOA), quantum information theory",2024.0,https://samueli.ucla.edu/ucla-samueli-welcomes-new-faculty-members-2024/ ; https://leoxzhou.github.io/,Variational quantum circuit design/analysis — core HVK component,Confirmed
3,Hanrui Wang,UCLA,Computer Science,USA,North America,"Quantum machine learning, quantum-classical hardware/software co-design (creator of TorchQuantum)",2025.0,https://www.cs.ucla.edu/ucla-computer-science-welcomes-six-faculty-members/,Near-exact match: QML software combining classical ML with variational quantum circuits,Confirmed
4,Ewin Tang,Princeton University,Computer Science (Princeton Quantum Initiative),USA,North America,Quantum learning theory; dequantized/quantum-inspired ML algorithms,2026.0,https://ewintang.com/,Quantum-inspired classical ML algorithms — relevant to HVK's classical decoder/feature extraction,Confirmed
5,James Bartusek,Columbia University,Computer Science,USA,North America,"Cryptography and quantum information processing, verification of quantum computation",2025.0,https://www.cs.columbia.edu/2025/cs-welcomes-six-new-faculty/,Verification/soundness angle for hybrid quantum-classical pipelines,Confirmed
6,Fermi Ma,New York University,Computer Science (Courant),USA,North America,Quantum computing's interplay with cryptography and complexity theory,2025.0,https://cims.nyu.edu/dynamic/news/1484/,Quantum algorithms/complexity theory relevant to analyzing hybrid architectures,Confirmed
7,Tony Metger,New York University,Computer Science & Physics,USA,North America,"Quantum computation, quantum complexity theory, quantum cryptography",2026.0,https://simons.berkeley.edu/people/tony-metger,Theoretical fit; potential reviewer for quantum-circuit-component soundness,Confirmed
8,Charlotte Boettcher,Stanford University,Applied Physics (Q-FARM),USA,North America,"Quantum sensing/circuit QED, hybrid quantum circuits and qubits",2025.0,https://qfarm.stanford.edu/news/q-farms-newest-interdisciplinary-faculty-charlotte-boettcher,Hybrid quantum circuit systems — parallels HVK's hybrid design philosophy (hardware side),Confirmed
9,Aziza Suleymanzade,UC Berkeley,Physics,USA,North America,Hybrid quantum systems bridging superconducting circuits and Rydberg atoms,2025.0,https://news.berkeley.edu/2024/08/01/four-new-faculty-hires-are-a-quantum-leap-for-experimental-physics/,Hybrid-system architecture research parallels HVK's hybrid quantum-classical design,Confirmed
10,Harry Levine,UC Berkeley,Physics,USA,North America,"Trapped neutral atoms, logical qubits, decoherence suppression",2025.0,https://news.berkeley.edu/2024/08/01/four-new-faculty-hires-are-a-quantum-leap-for-experimental-physics/,Hardware noise-resilience expertise for variational circuit components,Confirmed
11,Huanqian Loh,Duke University,Electrical & Computer Engineering / Physics,USA,North America,"Neutral-atom quantum computing, quantum systems engineering",2024.0,https://pratt.duke.edu/news/huanqian-loh-exploring-quantum-systems-with-neutral-atoms/,Quantum hardware background — moderate fit for circuit-side aspects,Confirmed
12,Yulong Dong,University of Michigan,Electrical & Computer Engineering (+ Math),USA,North America,"Quantum algorithms, quantum signal processing, optimization for NISQ devices",2026.0,https://dongylaq.github.io/,Hybrid quantum-classical algorithm design/optimization — directly relevant to HVK's variational component,Confirmed
13,Souvik Biswas,University of Michigan,Electrical & Computer Engineering,USA,North America,"Integrated quantum photonic circuits, spin-photon interfaces, quantum sensing",2026.0,https://ece.engin.umich.edu/people/directory/faculty/,"Quantum hardware/photonics — weaker direct ML overlap, relevant for feature-extraction hardware",Confirmed
14,Josiah Sinclair,University of Wisconsin-Madison,Physics,USA,North America,"Neutral-atom quantum computers, modular photonic interconnects",2025.0,https://www.physics.wisc.edu/tag/new-faculty/,Quantum computing hardware/networking — moderate fit,Confirmed
15,Antonios M. Alvertis,UT Austin,Physics / Oden Institute for Computational Engineering & Sciences,USA,North America,Computational condensed matter theory; tensor-network algorithms for correlated materials,2026.0,https://amalvertis.github.io/,"Tensor-network methods overlap (applied to materials, not ML/vision) — moderate fit",Confirmed
16,Honghao Fu,Concordia University,Concordia Institute for Information Systems Engineering,Canada,North America,"Quantum advantage, verification of quantum devices, secure quantum computing",2024.0,https://www.concordia.ca/faculty/honghao-fu.html,Quantum info theory/verification — relevant for validating quantum-component correctness,Confirmed
17,Abhijeet Alase,Concordia University,Physics,Canada,North America,"Topological quantum computation, quantum algorithms, quantum sensing",2025.0,https://www.concordia.ca/faculty/abhijeet-alase.html,Quantum algorithms background directly relevant to variational quantum circuit design,Confirmed
18,Yihui Quek,EPFL,School of Computer & Communication Sciences / Basic Sciences,Switzerland,Europe,"Quantum learning theory, error correction, noise characterization, quantum resource theory",2025.0,https://actu.epfl.ch/news/yihui-quek-newly-appointed-tenure-track-assistant-/,Learning-theoretic lens on quantum systems — informs feature-extraction/generalization in hybrid QML,Confirmed
19,Juan Carrasquilla Alvarez,ETH Zurich,Institute for Theoretical Physics,Switzerland,Europe,"Machine learning, tensor networks, and quantum computing for strongly-correlated many-body systems",2024.0,https://www.phys.ethz.ch/news-and-events/d-phys-news/2023/12/new-year-new-professors.html,Near-perfect topical overlap: tensor networks + ML + quantum computing combined,Confirmed
20,Anna Dawid-Lekowska,Leiden University,"LIACS (Theory) / LION, aQa group",Netherlands,Europe,"Interpretable machine learning for quantum science, ML theory, ultracold simulation platforms",2024.0,https://www.universiteitleiden.nl/en/staffmembers/anna-dawid-lekowska ; https://annadawid.com/,Leads a group explicitly bridging ML and quantum physics — strong fit for hybrid decoder work,Confirmed
21,Alejandro Pozas-Kerstjens,Universite de Geneve,Physics / Constructor Institute,Switzerland,Europe,"Tensor networks in ML (author of TensorKrowch), quantum-inspired kernels/SVMs",2024.0,https://www.alexpozas.com/home,Closest direct match — builds tensor-network ML tooling very close to HVK's MPS component,Confirmed
22,Balint Koczor,University of Oxford,Mathematical Institute,UK,Europe,"Quantum algorithms, variational/near-term quantum computing, quantum error mitigation",2024.0,https://appliedqc.org/balint_koczor/ ; https://www.maths.ox.ac.uk/people/balint.koczor,Leads a VQA/NISQ algorithms group — directly relevant to HVK's variational quantum circuit layer,Confirmed
23,Christophe Piveteau,University of Basel,Mathematics and Computer Science (NCCR SPIN),Switzerland,Europe,"Quantum information theory, circuit cutting, error mitigation, quantum error correction",2026.0,https://dmi.unibas.ch/en/news-events/detail/new,Circuit-cutting/error-mitigation expertise applies to scaling hybrid quantum-classical pipelines,"Confirmed (announced 2026, joins 2027)"
24,Tamara Kohler,University of Amsterdam / QuSoft,Institute of Physics,Netherlands,Europe,"Quantum complexity theory, Hamiltonian simulation, quantum info applied to many-body physics",2025.0,https://qusoft.org/2025/09/29/bridging-computer-science-and-physics-tamara-kohlers-next-chapter-at-qusoft/,Hamiltonian-simulation/complexity-theory lens relevant to HVK's Hamiltonian feature extraction,Confirmed
25,Mario Krenn,University of Tuebingen,Computer Science / ML4Science Cluster of Excellence,Germany,Europe,"ML-driven automated discovery of quantum experiments (PyTheus), AI for quantum physics",2025.0,https://uni-tuebingen.de/forschung/forschungsschwerpunkte/exzellenzcluster-maschinelles-lernen/news/newsfullview-news/article/neue-professur-fuer-maschinelles-lernen-in-der-wissenschaft/,Full W3 chair (not strictly junior) but brand-new hire; ML-for-quantum-experiment-design highly synergistic,Confirmed
26,David Kreplin,Hochschule Heilbronn,Computer Science,Germany,Europe,"Quantum machine learning, quantum kernel methods, quantum neural networks (lead dev of sQUlearn)",2025.0,https://www.simtech.uni-stuttgart.de/communication/SimTech-Alumnus-David-Kreplin-uebernimmt-Professur-fuer-Angewandtes-Quantencomputing-an-der-Hochschule-Heilbronn/,Direct QML tooling background (quantum kernels/QNNs) parallels HVK's observable + decoder pipeline,Confirmed
27,Hao Xiong,Fudan University,AI3 Institute (Artificial Intelligence Innovation and Incubation),China,East Asia/Oceania,"Hybrid quantum-classical machine learning, tensor networks, quantum-inspired network embedding",2025.0,https://shawxh.github.io/,Near-exact match to HVK's hybrid quantum-classical + tensor-network + feature-extraction stack,Confirmed
28,Hayata Yamasaki,University of Tokyo,"Computer Science, Graduate School of Information Science and Technology",Japan,East Asia/Oceania,"Fault-tolerant quantum computing, quantum error correction, quantum information/computation theory",2025.0,https://www.hayatayamasaki.com/about-me,Theory-side collaborator for variational-circuit/error-robustness components of HVK,Confirmed
29,Sanjib Ghosh,CUHK-Shenzhen,School of Science and Engineering,China,East Asia/Oceania,"Quantum neural networks, quantum reservoir computing, strong light-matter interaction",2024.0,https://sse.cuhk.edu.cn/en/faculty/sanjibghosh ; https://myweb.cuhk.edu.cn/sanjibghosh,Quantum-neural-network/reservoir-computing background overlaps directly with HVK's design,Confirmed
30,Shintaro Takada,Osaka University,QIQB (Center for Quantum Information and Quantum Biology) / Physics,Japan,East Asia/Oceania,Quantum information science affiliation; nanoscale/experimental physics,2024.0,https://qiqb.osaka-u.ac.jp/en/newstopics/news20240501,Weaker fit — experimental/hardware rather than ML; institute contact rather than direct collaborator,Confirmed
31,Marek (Ludwik) Gluza,Nanyang Technological University,School of Physical and Mathematical Sciences,Singapore,East Asia/Oceania,"Quantum algorithms (double-bracket quantum algorithms/QITE), mathematical physics",,https://dr.ntu.edu.sg/entities/person/023e52b0-eb4d-408f-b636-0f9ad34eda66 ; https://www.cqt.sg/highlight/2025-05-dynamic-programming-quantum/,Strong thematic fit (quantum algorithm design) IF start date confirmed as 2024-2026 — verify independently,"Probable, start year unconfirmed"
